iter	Passed	Remaining
0	2	284
1	5	268
2	8	261
3	9	239
4	13	265
5	16	261
6	19	259
7	22	261
8	26	269
9	31	280
10	33	274
11	36	269
12	39	265
13	46	283
14	99	565
15	102	537
16	105	512
17	108	495
18	111	474
19	113	455
20	116	437
21	118	420
22	121	405
23	124	394
24	127	382
25	129	369
26	137	371
27	140	361
28	143	352
29	146	341
30	149	331
31	151	321
32	156	318
33	159	309
34	162	301
35	164	292
36	167	284
37	186	304
38	190	297
39	194	291
40	201	290
41	202	279
42	205	272
43	208	264
44	210	257
45	212	250
46	215	242
47	219	237
48	232	242
49	236	236
50	239	229
51	242	223
52	245	217
53	253	215
54	254	208
55	257	202
56	259	196
57	262	190
58	271	188
59	273	182
60	277	177
61	281	172
62	284	167
63	287	161
64	290	156
65	294	151
66	299	147
67	302	142
68	322	145
69	325	139
70	328	134
71	332	129
72	334	123
73	337	118
74	342	114
75	345	109
76	348	104
77	351	99
78	363	96
79	367	91
80	370	86
81	373	81
82	376	77
83	378	72
84	381	67
85	384	62
86	386	57
87	390	53
88	393	48
89	398	44
90	401	39
91	404	35
92	406	30
93	410	26
94	412	21
95	415	17
96	417	12
97	420	8
98	423	4
99	425	0
