iter	Passed	Remaining
0	311	311573
1	314	156900
2	316	105166
3	318	79299
4	320	63769
5	322	53413
6	327	46521
7	330	40929
8	332	36570
9	334	33079
10	336	30222
11	338	27831
12	343	26097
13	346	24416
14	349	22925
15	351	21592
16	353	20417
17	356	19458
18	359	18551
19	361	17736
20	364	16994
21	366	16312
22	373	15858
23	375	15265
24	377	14720
25	379	14213
26	381	13743
27	387	13448
28	389	13041
29	391	12658
30	393	12305
31	395	11971
32	400	11729
33	402	11440
34	404	11158
35	406	10893
36	408	10638
37	410	10402
38	415	10240
39	418	10038
40	420	9834
41	422	9638
42	424	9454
43	426	9271
44	430	9146
45	433	8984
46	435	8822
47	437	8670
48	439	8525
49	441	8388
50	445	8295
51	448	8176
52	450	8053
53	453	7943
54	456	7838
55	461	7783
56	463	7671
57	465	7564
58	467	7459
59	469	7356
60	471	7258
61	475	7192
62	477	7102
63	479	7014
64	481	6932
65	483	6848
66	485	6766
67	489	6715
68	492	6641
69	494	6565
70	496	6492
71	498	6421
72	500	6352
73	505	6325
74	507	6260
75	509	6198
76	511	6134
77	513	6073
78	515	6012
79	521	5996
80	523	5940
81	525	5886
82	526	5819
83	528	5765
84	530	5713
85	535	5692
86	538	5649
87	541	5608
88	543	5565
89	549	5559
90	553	5524
91	555	5483
92	558	5443
93	560	5403
94	565	5389
95	569	5364
96	572	5329
97	575	5297
98	579	5269
99	582	5245
100	585	5210
101	587	5175
102	590	5141
103	593	5111
104	597	5092
105	599	5059
106	602	5028
107	604	4996
108	607	4965
109	613	4961
110	643	5156
111	646	5129
112	649	5098
113	651	5067
114	654	5036
115	657	5011
116	660	4981
117	685	5126
118	690	5114
119	693	5087
120	696	5061
121	698	5029
122	701	5002
123	707	4997
124	710	4974
125	713	4949
126	715	4920
127	718	4894
128	721	4873
129	724	4851
130	727	4827
131	734	4830
132	737	4805
133	741	4795
134	748	4794
135	751	4773
136	754	4750
137	756	4727
138	759	4703
139	764	4695
140	766	4672
141	768	4641
142	770	4617
143	772	4591
144	774	4566
145	779	4559
146	782	4539
147	784	4516
148	786	4493
149	788	4469
150	790	4445
151	796	4443
152	798	4422
153	801	4400
154	803	4378
155	805	4357
156	810	4350
157	812	4332
158	815	4311
159	817	4289
160	818	4264
161	820	4243
162	826	4244
163	829	4227
164	831	4210
165	835	4195
166	837	4176
167	840	4163
168	842	4143
169	844	4124
170	846	4104
171	848	4085
172	852	4076
173	855	4063
174	858	4049
175	861	4035
176	864	4020
177	870	4019
178	872	4001
179	874	3983
180	876	3965
181	878	3948
182	880	3930
183	884	3924
184	886	3907
185	888	3890
186	891	3874
187	893	3858
188	895	3842
189	900	3839
190	902	3823
191	904	3807
192	906	3791
193	908	3775
194	910	3759
195	915	3757
196	918	3745
197	921	3732
198	923	3719
199	926	3706
200	930	3700
201	932	3685
202	934	3670
203	936	3656
204	939	3641
205	940	3626
206	946	3624
207	948	3610
208	950	3596
209	952	3582
210	954	3568
211	956	3554
212	961	3553
213	963	3539
214	965	3526
215	967	3513
216	970	3500
217	972	3487
218	977	3485
219	979	3472
220	981	3459
221	983	3446
222	985	3433
223	987	3421
224	992	3419
225	995	3408
226	997	3396
227	999	3383
228	1002	3374
229	1031	3452
230	1034	3443
231	1044	3458
232	1047	3448
233	1059	3467
234	1080	3515
235	1083	3506
236	1090	3510
237	1094	3502
238	1096	3491
239	1099	3481
240	1106	3484
241	1109	3475
242	1112	3466
243	1131	3504
244	1137	3505
245	1140	3494
246	1142	3483
247	1145	3472
248	1152	3474
249	1155	3465
250	1158	3456
